ticker,yf_symbol
A1CAP,A1CAP.IS
A1YEN,A1YEN.IS
ACSEL,ACSEL.IS
ADEL,ADEL.IS
ADESE,ADESE.IS
ADGYO,ADGYO.IS
AEFES,AEFES.IS
AFYON,AFYON.IS
AGESA,AGESA.IS
AGHOL,AGHOL.IS
AGROT,AGROT.IS
AHGAZ,AHGAZ.IS
AHSGY,AHSGY.IS
AKBNK,AKBNK.IS
AKCNS,AKCNS.IS
AKENR,AKENR.IS
AKFGY,AKFGY.IS
AKFIS,AKFIS.IS
AKFYE,AKFYE.IS
AKGRT,AKGRT.IS
AKHAN,AKHAN.IS
AKSA,AKSA.IS
AKSEN,AKSEN.IS
AKSGY,AKSGY.IS
AKSUE,AKSUE.IS
ALARK,ALARK.IS
ALBRK,ALBRK.IS
ALCAR,ALCAR.IS
ALCTL,ALCTL.IS
ALFAS,ALFAS.IS
ALGYO,ALGYO.IS
ALKA,ALKA.IS
ALKIM,ALKIM.IS
ALKLC,ALKLC.IS
ALTNY,ALTNY.IS
ALVES,ALVES.IS
ANELE,ANELE.IS
ANGEN,ANGEN.IS
ANHYT,ANHYT.IS
ANSGR,ANSGR.IS
ARASE,ARASE.IS
ARCLK,ARCLK.IS
ARDYZ,ARDYZ.IS
ARENA,ARENA.IS
ARFYE,ARFYE.IS
ARMGD,ARMGD.IS
ARSAN,ARSAN.IS
ARTMS,ARTMS.IS
ARZUM,ARZUM.IS
ASELS,ASELS.IS
ASGYO,ASGYO.IS
ASTOR,ASTOR.IS
ASUZU,ASUZU.IS
ATAKP,ATAKP.IS
ATATP,ATATP.IS
ATATR,ATATR.IS
AVGYO,AVGYO.IS
AVHOL,AVHOL.IS
AVOD,AVOD.IS
AVPGY,AVPGY.IS
AYCES,AYCES.IS
AYDEM,AYDEM.IS
AYEN,AYEN.IS
AYGAZ,AYGAZ.IS
AZTEK,AZTEK.IS
BAGFS,BAGFS.IS
BAHKM,BAHKM.IS
BALSU,BALSU.IS
BANVT,BANVT.IS
BARMA,BARMA.IS
BASGZ,BASGZ.IS
BAYRK,BAYRK.IS
BEGYO,BEGYO.IS
BERA,BERA.IS
BESLR,BESLR.IS
BESTE,BESTE.IS
BEYAZ,BEYAZ.IS
BFREN,BFREN.IS
BIENY,BIENY.IS
BIGCH,BIGCH.IS
BIGEN,BIGEN.IS
BIGTK,BIGTK.IS
BIMAS,BIMAS.IS
BINBN,BINBN.IS
BINHO,BINHO.IS
BIOEN,BIOEN.IS
BJKAS,BJKAS.IS
BLCYT,BLCYT.IS
BLUME,BLUME.IS
BMSCH,BMSCH.IS
BMSTL,BMSTL.IS
BNTAS,BNTAS.IS
BOBET,BOBET.IS
BORLS,BORLS.IS
BORSK,BORSK.IS
BOSSA,BOSSA.IS
BRISA,BRISA.IS
BRKVY,BRKVY.IS
BRLSM,BRLSM.IS
BRSAN,BRSAN.IS
BRYAT,BRYAT.IS
BSOKE,BSOKE.IS
BTCIM,BTCIM.IS
BUCIM,BUCIM.IS
BULGS,BULGS.IS
BURCE,BURCE.IS
BVSAN,BVSAN.IS
CANTE,CANTE.IS
CATES,CATES.IS
CCOLA,CCOLA.IS
CELHA,CELHA.IS
CEMAS,CEMAS.IS
CEMTS,CEMTS.IS
CEMZY,CEMZY.IS
CEOEM,CEOEM.IS
CGCAM,CGCAM.IS
CIMSA,CIMSA.IS
CLEBI,CLEBI.IS
CMBTN,CMBTN.IS
CONSE,CONSE.IS
CRFSA,CRFSA.IS
CVKMD,CVKMD.IS
CWENE,CWENE.IS
DAGI,DAGI.IS
DAPGM,DAPGM.IS
DARDL,DARDL.IS
DCTTR,DCTTR.IS
DENGE,DENGE.IS
DERHL,DERHL.IS
DESA,DESA.IS
DESPC,DESPC.IS
DEVA,DEVA.IS
DGATE,DGATE.IS
DGNMO,DGNMO.IS
DITAS,DITAS.IS
DMRGD,DMRGD.IS
DMSAS,DMSAS.IS
DNISI,DNISI.IS
DOAS,DOAS.IS
DOCO,DOCO.IS
DOFER,DOFER.IS
DOFRB,DOFRB.IS
DOHOL,DOHOL.IS
DOKTA,DOKTA.IS
DSTKF,DSTKF.IS
DUNYH,DUNYH.IS
DURDO,DURDO.IS
DURKN,DURKN.IS
DYOBY,DYOBY.IS
DZGYO,DZGYO.IS
EBEBK,EBEBK.IS
ECILC,ECILC.IS
ECOGR,ECOGR.IS
ECZYT,ECZYT.IS
EDATA,EDATA.IS
EDIP,EDIP.IS
EFOR,EFOR.IS
EGEEN,EGEEN.IS
EGEGY,EGEGY.IS
EGEPO,EGEPO.IS
EGGUB,EGGUB.IS
EGPRO,EGPRO.IS
EKGYO,EKGYO.IS
EKOS,EKOS.IS
EKSUN,EKSUN.IS
ELITE,ELITE.IS
EMKEL,EMKEL.IS
ENDAE,ENDAE.IS
ENERY,ENERY.IS
ENJSA,ENJSA.IS
ENKAI,ENKAI.IS
ENSRI,ENSRI.IS
ENTRA,ENTRA.IS
EPLAS,EPLAS.IS
ERCB,ERCB.IS
EREGL,EREGL.IS
ESCAR,ESCAR.IS
ESCOM,ESCOM.IS
ESEN,ESEN.IS
ETILR,ETILR.IS
EUPWR,EUPWR.IS
EUREN,EUREN.IS
EYGYO,EYGYO.IS
FENER,FENER.IS
FMIZP,FMIZP.IS
FONET,FONET.IS
FORMT,FORMT.IS
FORTE,FORTE.IS
FRIGO,FRIGO.IS
FRMPL,FRMPL.IS
FROTO,FROTO.IS
FZLGY,FZLGY.IS
GARAN,GARAN.IS
GARFA,GARFA.IS
GEDIK,GEDIK.IS
GEDZA,GEDZA.IS
GENIL,GENIL.IS
GENTS,GENTS.IS
GEREL,GEREL.IS
GESAN,GESAN.IS
GIPTA,GIPTA.IS
GLCVY,GLCVY.IS
GLRMK,GLRMK.IS
GLRYH,GLRYH.IS
GLYHO,GLYHO.IS
GMTAS,GMTAS.IS
GOKNR,GOKNR.IS
GOLTS,GOLTS.IS
GOODY,GOODY.IS
GOZDE,GOZDE.IS
GRSEL,GRSEL.IS
GRTHO,GRTHO.IS
GSDHO,GSDHO.IS
GSRAY,GSRAY.IS
GUBRF,GUBRF.IS
GUNDG,GUNDG.IS
GWIND,GWIND.IS
GZNMI,GZNMI.IS
HALKB,HALKB.IS
HATEK,HATEK.IS
HATSN,HATSN.IS
HDFGS,HDFGS.IS
HEDEF,HEDEF.IS
HEKTS,HEKTS.IS
HKTM,HKTM.IS
HLGYO,HLGYO.IS
HOROZ,HOROZ.IS
HRKET,HRKET.IS
HTTBT,HTTBT.IS
HUNER,HUNER.IS
HURGZ,HURGZ.IS
ICBCT,ICBCT.IS
ICUGS,ICUGS.IS
IEYHO,IEYHO.IS
IHAAS,IHAAS.IS
IHGZT,IHGZT.IS
IHLAS,IHLAS.IS
IHLGM,IHLGM.IS
IHYAY,IHYAY.IS
IMASM,IMASM.IS
INDES,INDES.IS
INFO,INFO.IS
INGRM,INGRM.IS
INTEM,INTEM.IS
INVEO,INVEO.IS
INVES,INVES.IS
ISCTR,ISCTR.IS
ISDMR,ISDMR.IS
ISFIN,ISFIN.IS
ISGSY,ISGSY.IS
ISGYO,ISGYO.IS
ISKPL,ISKPL.IS
ISMEN,ISMEN.IS
IZENR,IZENR.IS
IZFAS,IZFAS.IS
IZMDC,IZMDC.IS
JANTS,JANTS.IS
KAPLM,KAPLM.IS
KAREL,KAREL.IS
KARSN,KARSN.IS
KARTN,KARTN.IS
KATMR,KATMR.IS
KAYSE,KAYSE.IS
KBORU,KBORU.IS
KCAER,KCAER.IS
KCHOL,KCHOL.IS
KFEIN,KFEIN.IS
KGYO,KGYO.IS
KIMMR,KIMMR.IS
KLGYO,KLGYO.IS
KLKIM,KLKIM.IS
KLMSN,KLMSN.IS
KLRHO,KLRHO.IS
KLSER,KLSER.IS
KLSYN,KLSYN.IS
KLYPV,KLYPV.IS
KMPUR,KMPUR.IS
KNFRT,KNFRT.IS
KOCMT,KOCMT.IS
KONKA,KONKA.IS
KONTR,KONTR.IS
KONYA,KONYA.IS
KOPOL,KOPOL.IS
KORDS,KORDS.IS
KOTON,KOTON.IS
KRDMD,KRDMD.IS
KRGYO,KRGYO.IS
KRONT,KRONT.IS
KRPLS,KRPLS.IS
KRSTL,KRSTL.IS
KRVGD,KRVGD.IS
KTLEV,KTLEV.IS
KTSKR,KTSKR.IS
KUTPO,KUTPO.IS
KUYAS,KUYAS.IS
KZBGY,KZBGY.IS
KZGYO,KZGYO.IS
LIDER,LIDER.IS
LIDFA,LIDFA.IS
LILAK,LILAK.IS
LINK,LINK.IS
LKMNH,LKMNH.IS
LMKDC,LMKDC.IS
LOGO,LOGO.IS
LRSHO,LRSHO.IS
LYDHO,LYDHO.IS
LYDYE,LYDYE.IS
MAALT,MAALT.IS
MACKO,MACKO.IS
MAGEN,MAGEN.IS
MAKIM,MAKIM.IS
MAKTK,MAKTK.IS
MANAS,MANAS.IS
MARBL,MARBL.IS
MARKA,MARKA.IS
MARMR,MARMR.IS
MARTI,MARTI.IS
MAVI,MAVI.IS
MEDTR,MEDTR.IS
MEGMT,MEGMT.IS
MEKAG,MEKAG.IS
MERCN,MERCN.IS
MERIT,MERIT.IS
MERKO,MERKO.IS
METRO,METRO.IS
MEYSU,MEYSU.IS
MGROS,MGROS.IS
MHRGY,MHRGY.IS
MIATK,MIATK.IS
MNDRS,MNDRS.IS
MNDTR,MNDTR.IS
MOBTL,MOBTL.IS
MOGAN,MOGAN.IS
MOPAS,MOPAS.IS
MPARK,MPARK.IS
MRGYO,MRGYO.IS
MRSHL,MRSHL.IS
MSGYO,MSGYO.IS
MTRKS,MTRKS.IS
NATEN,NATEN.IS
NETAS,NETAS.IS
NETCD,NETCD.IS
NIBAS,NIBAS.IS
NTGAZ,NTGAZ.IS
NTHOL,NTHOL.IS
NUGYO,NUGYO.IS
NUHCM,NUHCM.IS
OBAMS,OBAMS.IS
ODAS,ODAS.IS
ODINE,ODINE.IS
OFSYM,OFSYM.IS
ONCSM,ONCSM.IS
ONRYT,ONRYT.IS
ORGE,ORGE.IS
OSMEN,OSMEN.IS
OSTIM,OSTIM.IS
OTKAR,OTKAR.IS
OTTO,OTTO.IS
OYAKC,OYAKC.IS
OYYAT,OYYAT.IS
OZATD,OZATD.IS
OZGYO,OZGYO.IS
OZKGY,OZKGY.IS
OZSUB,OZSUB.IS
OZYSR,OZYSR.IS
PAGYO,PAGYO.IS
PAHOL,PAHOL.IS
PAMEL,PAMEL.IS
PAPIL,PAPIL.IS
PARSN,PARSN.IS
PASEU,PASEU.IS
PATEK,PATEK.IS
PCILT,PCILT.IS
PEKGY,PEKGY.IS
PENGD,PENGD.IS
PENTA,PENTA.IS
PETKM,PETKM.IS
PETUN,PETUN.IS
PGSUS,PGSUS.IS
PINSU,PINSU.IS
PKENT,PKENT.IS
PLTUR,PLTUR.IS
PNLSN,PNLSN.IS
PNSUT,PNSUT.IS
POLHO,POLHO.IS
POLTK,POLTK.IS
PRDGS,PRDGS.IS
PRKAB,PRKAB.IS
PRKME,PRKME.IS
PSGYO,PSGYO.IS
QUAGR,QUAGR.IS
RALYH,RALYH.IS
RAYSG,RAYSG.IS
REEDR,REEDR.IS
RGYAS,RGYAS.IS
RTALB,RTALB.IS
RUBNS,RUBNS.IS
RUZYE,RUZYE.IS
RYGYO,RYGYO.IS
RYSAS,RYSAS.IS
SAFKR,SAFKR.IS
SAHOL,SAHOL.IS
SANFM,SANFM.IS
SARKY,SARKY.IS
SASA,SASA.IS
SAYAS,SAYAS.IS
SDTTR,SDTTR.IS
SEGMN,SEGMN.IS
SEGYO,SEGYO.IS
SELEC,SELEC.IS
SELVA,SELVA.IS
SERNT,SERNT.IS
SISE,SISE.IS
SKBNK,SKBNK.IS
SKTAS,SKTAS.IS
SKYMD,SKYMD.IS
SMART,SMART.IS
SMRTG,SMRTG.IS
SMRVA,SMRVA.IS
SNGYO,SNGYO.IS
SNICA,SNICA.IS
SOKE,SOKE.IS
SOKM,SOKM.IS
SRVGY,SRVGY.IS
SUNTK,SUNTK.IS
SURGY,SURGY.IS
SUWEN,SUWEN.IS
TABGD,TABGD.IS
TARKM,TARKM.IS
TATEN,TATEN.IS
TATGD,TATGD.IS
TAVHL,TAVHL.IS
TBORG,TBORG.IS
TCELL,TCELL.IS
TCKRC,TCKRC.IS
TEHOL,TEHOL.IS
TEKTU,TEKTU.IS
TERA,TERA.IS
TEZOL,TEZOL.IS
TGSAS,TGSAS.IS
THYAO,THYAO.IS
TKFEN,TKFEN.IS
TKNSA,TKNSA.IS
TLMAN,TLMAN.IS
TMPOL,TMPOL.IS
TMSN,TMSN.IS
TNZTP,TNZTP.IS
TOASO,TOASO.IS
TRALT,TRALT.IS
TRCAS,TRCAS.IS
TRENJ,TRENJ.IS
TRGYO,TRGYO.IS
TRILC,TRILC.IS
TRMET,TRMET.IS
TSKB,TSKB.IS
TSPOR,TSPOR.IS
TTKOM,TTKOM.IS
TTRAK,TTRAK.IS
TUCLK,TUCLK.IS
TUKAS,TUKAS.IS
TUPRS,TUPRS.IS
TUREX,TUREX.IS
TURGG,TURGG.IS
TURSG,TURSG.IS
UCAYM,UCAYM.IS
UFUK,UFUK.IS
ULKER,ULKER.IS
ULUFA,ULUFA.IS
ULUSE,ULUSE.IS
ULUUN,ULUUN.IS
UNLU,UNLU.IS
USAK,USAK.IS
VAKBN,VAKBN.IS
VAKFA,VAKFA.IS
VAKFN,VAKFN.IS
VAKKO,VAKKO.IS
VBTYZ,VBTYZ.IS
VERTU,VERTU.IS
VERUS,VERUS.IS
VESBE,VESBE.IS
VESTL,VESTL.IS
VKGYO,VKGYO.IS
VRGYO,VRGYO.IS
VSNMD,VSNMD.IS
YAPRK,YAPRK.IS
YATAS,YATAS.IS
YAYLA,YAYLA.IS
YEOTK,YEOTK.IS
YESIL,YESIL.IS
YGGYO,YGGYO.IS
YIGIT,YIGIT.IS
YKBNK,YKBNK.IS
YKSLN,YKSLN.IS
YUNSA,YUNSA.IS
YYLGD,YYLGD.IS
ZEDUR,ZEDUR.IS
ZERGY,ZERGY.IS
ZGYO,ZGYO.IS
ZOREN,ZOREN.IS
ZRGYO,ZRGYO.IS
